DMF_ID,High_Yield_ID,High_Yield,Simlarity
(1710, 1560, 56.0, array([[-0.03022884]]))
(1710, 1572, 73.0, array([[-0.05459275]]))
(1710, 1656, 66.0, array([[-0.02212614]]))
(1710, 1680, 72.0, array([[-0.0592007]]))
(1710, 1683, 52.0, array([[0.05101915]]))
(1710, 1692, 66.0, array([[-0.04023013]]))
(1710, 1776, 62.0, array([[-0.01594019]]))
(1710, 1779, 51.0, array([[0.07451074]]))
(1711, 132, 54.0, array([[-0.23811731]]))
(1711, 216, 61.0, array([[-0.26788315]]))
(1711, 240, 54.0, array([[-0.17027133]]))
(1711, 254, 73.0, array([[-0.29792469]]))
(1711, 255, 75.0, array([[-0.29621409]]))
(1711, 336, 65.0, array([[-0.2795286]]))
(1711, 338, 54.0, array([[-0.23913598]]))
(1711, 339, 60.0, array([[-0.25772069]]))
(1711, 341, 60.0, array([[-0.24879505]]))
(1711, 345, 54.0, array([[-0.24161588]]))
(1711, 348, 70.0, array([[-0.29591836]]))
(1711, 357, 53.0, array([[-0.228083]]))
(1711, 960, 60.0, array([[-0.26875498]]))
(1711, 1080, 73.0, array([[-0.295084]]))
(1711, 1092, 57.0, array([[-0.25902051]]))
(1711, 1176, 52.0, array([[-0.23223983]]))
(1711, 1200, 75.0, array([[-0.30454906]]))
(1711, 1203, 66.0, array([[-0.28489668]]))
(1711, 1296, 80.0, array([[-0.31981721]]))
(1711, 1299, 74.0, array([[-0.3035712]]))
(1711, 1308, 68.6, array([[-0.29988061]]))
(1711, 1320, 61.0, array([[-0.27539976]]))
(1711, 1440, 70.0, array([[-0.28303379]]))
(1711, 1443, 67.0, array([[-0.2798397]]))
(1711, 1452, 59.0, array([[-0.27112349]]))
(1711, 1560, 56.0, array([[-0.29810477]]))
(1711, 1572, 73.0, array([[-0.32962523]]))
(1711, 1656, 66.0, array([[-0.28792004]]))
(1711, 1680, 72.0, array([[-0.29418024]]))
(1711, 1683, 52.0, array([[-0.23120383]]))
(1711, 1692, 66.0, array([[-0.27973742]]))
(1711, 1776, 62.0, array([[-0.27844947]]))
(1711, 1779, 51.0, array([[-0.20938835]]))
(1712, 132, 54.0, array([[-0.33880976]]))
(1712, 216, 61.0, array([[-0.36709214]]))
(1712, 240, 54.0, array([[-0.30351791]]))
(1712, 254, 73.0, array([[-0.42654279]]))
(1712, 255, 75.0, array([[-0.42774005]]))
(1712, 336, 65.0, array([[-0.39320113]]))
(1712, 338, 54.0, array([[-0.32785897]]))
(1712, 339, 60.0, array([[-0.36489698]]))
(1712, 341, 60.0, array([[-0.34986839]]))
(1712, 345, 54.0, array([[-0.33653157]]))
(1712, 348, 70.0, array([[-0.42083436]]))
(1712, 357, 53.0, array([[-0.33300333]]))
(1712, 960, 60.0, array([[-0.36392483]]))
(1712, 1080, 73.0, array([[-0.42324946]]))
(1712, 1092, 57.0, array([[-0.36339189]]))
(1712, 1176, 52.0, array([[-0.33453173]]))
(1712, 1200, 75.0, array([[-0.43089056]]))
(1712, 1203, 66.0, array([[-0.40249439]]))
(1712, 1296, 80.0, array([[-0.45104833]]))
(1712, 1299, 74.0, array([[-0.4356559]]))
(1712, 1308, 68.6, array([[-0.42434336]]))
(1712, 1320, 61.0, array([[-0.40510031]]))
(1712, 1440, 70.0, array([[-0.40484378]]))
(1712, 1443, 67.0, array([[-0.4058461]]))
(1712, 1452, 59.0, array([[-0.36898662]]))
(1712, 1560, 56.0, array([[-0.40117563]]))
(1712, 1572, 73.0, array([[-0.42291771]]))
(1712, 1656, 66.0, array([[-0.39377527]]))
(1712, 1680, 72.0, array([[-0.41794019]]))
(1712, 1683, 52.0, array([[-0.32844434]]))
(1712, 1692, 66.0, array([[-0.40418377]]))
(1712, 1776, 62.0, array([[-0.38857179]]))
(1712, 1779, 51.0, array([[-0.30450849]]))
(1722, 132, 54.0, array([[0.01395102]]))
(1722, 216, 61.0, array([[-0.01351691]]))
(1722, 240, 54.0, array([[0.0299662]]))
(1722, 254, 73.0, array([[-0.09164841]]))
(1722, 255, 75.0, array([[-0.09567523]]))
(1722, 336, 65.0, array([[-0.05006153]]))
(1722, 338, 54.0, array([[0.02606501]]))
(1722, 339, 60.0, array([[-0.01582589]]))
(1722, 341, 60.0, array([[0.00266639]]))
(1722, 345, 54.0, array([[0.0165192]]))
(1722, 348, 70.0, array([[-0.08326742]]))
(1722, 357, 53.0, array([[0.02033754]]))
(1722, 960, 60.0, array([[-0.01211599]]))
(1722, 1080, 73.0, array([[-0.08616805]]))
(1722, 1092, 57.0, array([[-0.01016429]]))
(1722, 1176, 52.0, array([[0.01905194]]))
(1722, 1200, 75.0, array([[-0.09550569]]))
(1722, 1203, 66.0, array([[-0.05868896]]))
(1722, 1296, 80.0, array([[-0.1250871]]))
(1722, 1299, 74.0, array([[-0.10537691]]))
(1722, 1308, 68.6, array([[-0.08679775]]))
(1722, 1320, 61.0, array([[-0.07557289]]))
(1722, 1440, 70.0, array([[-0.06762663]]))
(1722, 1443, 67.0, array([[-0.0650832]]))
(1722, 1452, 59.0, array([[-0.01991183]]))
(1722, 1560, 56.0, array([[-0.0534953]]))
(1722, 1572, 73.0, array([[-0.07254877]]))
